"id","value_id","name","description","long description"
"144Y","1","The Position of Negative Morphemes in Object-Initial Languages","ONegVS","ONegVS"
"144Y","2","The Position of Negative Morphemes in Object-Initial Languages","OVNegS","OVNegS"
"144Y","3","The Position of Negative Morphemes in Object-Initial Languages","OSVNeg","OSVNeg"
"144Y","4","The Position of Negative Morphemes in Object-Initial Languages","O[V-Neg]S","O[V-Neg]S"
"144Y","5","The Position of Negative Morphemes in Object-Initial Languages","OS(Neg)[V(-Neg)]","OS(Neg)[V(-Neg)]"
"144Y","6","The Position of Negative Morphemes in Object-Initial Languages","O[Neg-V-Neg]S","O[Neg-V-Neg]S"
"144Y","7","The Position of Negative Morphemes in Object-Initial Languages","OVNegS/SOVNeg","OVNegS/SOVNeg"
"144Y","8","The Position of Negative Morphemes in Object-Initial Languages","NegOVS/NegSOV","NegOVS/NegSOV"
"144Y","9","The Position of Negative Morphemes in Object-Initial Languages","O[V-Neg]S/SO[V-Neg]","O[V-Neg]S/SO[V-Neg]"
"144Y","10","The Position of Negative Morphemes in Object-Initial Languages","O[Neg-V]S/NegSVO","O[Neg-V]S/NegSVO"
"144Y","11","The Position of Negative Morphemes in Object-Initial Languages","OVS & NegV","OVS & NegV"
"90C","1","Postnominal relative clauses","Noun-Relative clause (NRel) dominant","Noun-Relative clause (NRel) dominant"
"90C","2","Postnominal relative clauses","NRel or RelN","NRel or RelN"
"90C","3","Postnominal relative clauses","NRel or internally-headed","NRel or internally-headed"
"90C","4","Postnominal relative clauses","NRel or correlative","NRel or correlative"
"144P","1","NegSOV Order","NoDoubleNeg","Separate word, no double negation"
"144P","2","NegSOV Order","OptDoubleNeg","Separate word, optional double negation, with NegSOV possible without a second negative"
"144P","3","NegSOV Order","OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme"
"144P","4","NegSOV Order","No NegSOV","SOV but NegSOV does not occur"
"144J","1","SVNegO Order","Word&NoDoubleNeg","Separate word, no double negation"
"144J","2","SVNegO Order","Suffix&NoDoubleNeg","Suffix, no double negation"
"144J","3","SVNegO Order","Word&OptDoubleNeg","Separate word, optional double negation, with SVNegO possible without a second negative"
"144J","4","SVNegO Order","Suffix&OptDoubleNeg","Suffix, optional double negation, with SVNegO possible without a second negative"
"144J","5","SVNegO Order","Word&OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme"
"144J","6","SVNegO Order","Suffix&OnlyWithAnotherNeg","Suffix, only occurs with another negative morpheme"
"144J","7","SVNegO Order","No SVNegO","SVO, but SVNegO does not occur"
"144N","1","Obligatory Double Negation in SOV languages","SONegVNeg","SONegVNeg"
"144N","2","Obligatory Double Negation in SOV languages","SVO but NegSNegOV","NegSNegOV but SVO in affirmative clauses"
"144N","3","Obligatory Double Negation in SOV languages","NegSO[V-Neg]","NegSO[V-Neg]"
"144N","4","Obligatory Double Negation in SOV languages","SONeg[V-Neg]","SONeg[V-Neg]"
"144N","5","Obligatory Double Negation in SOV languages","SO[Neg-V]Neg","SO[Neg-V]Neg"
"144N","6","Obligatory Double Negation in SOV languages","SO[Neg-V-Neg]","SO[Neg-V-Neg]"
"144N","7","Obligatory Double Negation in SOV languages","SO[Neg-V] with negative tone on verb	SO[Neg-V]&NegTone","SO[Neg-V] with negative tone on verb	SO[Neg-V]&NegTone"
"144N","8","Obligatory Double Negation in SOV languages","SONegVNeg/SONeg[V-Neg]","SONegVNeg/SONeg[V-Neg]"
"144N","9","Obligatory Double Negation in SOV languages","SVO but SONeg[V-Neg]/SO[Neg-V-Neg]","SONeg[V-Neg]/SO[Neg-V-Neg] but SVO in affirmative clauses"
"144N","10","Obligatory Double Negation in SOV languages","SNegO[V-Neg]/SONeg[V-Neg]","SNegO[V-Neg]/SONeg[V-Neg]"
"144N","11","Obligatory Double Negation in SOV languages","SO[V-Neg]Neg & OptNegPref/Infix","SO[V-Neg]Neg with optional negative prefix or infix"
"144N","12","Obligatory Double Negation in SOV languages","SNegOVNeg/SNegVONeg","SNegOVNeg/SNegVONeg"
"144N","13","Obligatory Double Negation in SOV languages","SNegOVNeg/SVONeg&NegTone","SNegOVNeg or SVONeg with negative tone on verb"
"144N","14","Obligatory Double Negation in SOV languages","SOV & NegVNeg","SOV & NegVNeg"
"144N","15","Obligatory Double Negation in SOV languages","SOV & Neg[V-Neg]","SOV & Neg[V-Neg]"
"144N","16","Obligatory Double Negation in SOV languages","SOV & Neg[Neg-V]","SOV & Neg[Neg-V]"
"144N","17","Obligatory Double Negation in SOV languages","SV & OV & Neg[V-Neg]","SV & OV & Neg[V-Neg]"
"144N","18","Obligatory Double Negation in SOV languages","SV & OV & [Neg-V-Neg]","SV & OV & [Neg-V-Neg]"
"144S","1","SOVNeg Order","Word&NoDoubleNeg","Separate word, no double negation"
"144S","2","SOVNeg Order","Suffix&NoDoubleNeg","Suffix, no double negation"
"144S","3","SOVNeg Order","Word&OptDoubleNeg","Separate word, optional double negation, with SONegV possible without a second negative"
"144S","4","SOVNeg Order","Suffix&OptDoubleNeg","Suffix, optional double negation, with SONegV possible without a second negative"
"144S","5","SOVNeg Order","Word&OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme"
"144S","6","SOVNeg Order","Suffix&OnlyWithAnotherNeg","Suffix, only occurs with another negative morpheme"
"144S","7","SOVNeg Order","Type 1 / Type 2","Type 1 / Type 2"
"144S","8","SOVNeg Order","Type 1 / Type 6","Type 1 / Type 6"
"144S","9","SOVNeg Order","Type 5 / Type 4","Type 5 / Type 4"
"144S","10","SOVNeg Order","Type 5 / Type 6","Type 5 / Type 6"
"144S","11","SOVNeg Order","NoSOVNeg","SOV, but SOVNeg does not occur"
"144X","1","Verb-Initial with Clause-Final Negative","NoDoubleNeg","Separate word, no double negation"
"144X","2","Verb-Initial with Clause-Final Negative","OptDoubleNeg","Separate word, optional double negation, with clause-final negative word possible without a second negative"
"144X","3","Verb-Initial with Clause-Final Negative","OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme"
"144X","4","Verb-Initial with Clause-Final Negative","No clause-final neg","Verb-initial but clause-final negative does not occur"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","1","NegSVO","NegSVO"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","2","SNegVO","SNegVO"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","3","SVNegO","SVNegO"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","4","SVONeg","SVONeg"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","5","NegSOV","NegSOV"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","6","SNegOV","SNegOV"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","7","SONegV","SONegV"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","8","SOVNeg","SOVNeg"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","9","NegVSO","NegVSO"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","10","VSNegO","VSNegO"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","11","VSONeg","VSONeg"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","12","NegVOS","NegVOS"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","13","ONegVS","ONegVS"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","14","OVNegS","OVNegS"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","15","OSVNeg","OSVNeg"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","16","More than one position","More than one position for negative morpheme, with none dominant"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","17","OptSingleNeg","Optional single negation"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","18","ObligDoubleNeg","Obligatory double negation"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","19","OptDoubleNeg","Optional double negation"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","20","MorphNeg","Morphological negation only (but not double negation)"
"144A", Object,"Position of Negative Word With Respect to Subject, and Verb","21","Other","Other languages"
"90G","1","Double-headed relative clauses","Double-headed dominant","Double-headed dominant"
"90G","2","Double-headed relative clauses","Double-headed or RelN","Double-headed or RelN"
"90G","3","Double-headed relative clauses","Double-headed or internally-headed","Double-headed or internally-headed"
"90G","4","Double-headed relative clauses","Double-headed as nondominant type","Double-headed as nondominant type"
"90E","1","Correlative relative clauses","Correlative relative clause dominant","Correlative relative clause dominant"
"90E","2","Correlative relative clauses","Correlative or RelN","Correlative or RelN"
"90E","3","Correlative relative clauses","Correlative or NRel","Correlative or NRel"
"90E","4","Correlative relative clauses","Correlative or internally-headed","Correlative or internally-headed"
"90E","5","Correlative relative clauses","Correlative or adjoined","Correlative or adjoined"
"90E","6","Correlative relative clauses","Correlative as nondominant type","Correlative as nondominant type"
"90E","7","Correlative relative clauses","Correlative exists","Correlative exists"
"144V","1","Verb-Initial with Preverbal Negative","Separate word, no double negation	Word&NoDoubleNeg","Separate word, no double negation	Word&NoDoubleNeg"
"144V","2","Verb-Initial with Preverbal Negative","Prefix, no double negation	Prefix&NoDoubleNeg","Prefix, no double negation	Prefix&NoDoubleNeg"
"144V","3","Verb-Initial with Preverbal Negative","Word&Opt","Separate word, optional single or double negation, with preverbal negative word possible without a second negative"
"144V","4","Verb-Initial with Preverbal Negative","Prefix&OptDoubleNeg","Prefix, optional double negation, with negative prefix possible without a second negative"
"144V","5","Verb-Initial with Preverbal Negative","Word&OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme"
"144V","6","Verb-Initial with Preverbal Negative","Prefix&OnlyWithAnotherNeg","Prefix, only occurs with another negative morpheme"
"144V","7","Verb-Initial with Preverbal Negative","Type 1 / Type 2","Type 1 / Type 2"
"144V","8","Verb-Initial with Preverbal Negative","Type 3 / Type 6","Type 3 / Type 6"
"144V","9","Verb-Initial with Preverbal Negative","No preverbal neg","Verb-initial but preverbal negative does not occur"
"144I","1","SNegVO Order","Word&NoDoubleNeg","Separate word, no double negation"
"144I","2","SNegVO Order","Prefix&NoDoubleNeg","Prefix, no double negation"
"144I","3","SNegVO Order","Word&OptDoubleNeg","Separate word, optional double negation, with SNegVO possible without a second negative"
"144I","4","SNegVO Order","Prefix&OptDoubleNeg","Prefix, optional double negation, with SNegVO possible without a second negative"
"144I","5","SNegVO Order","Word&OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme"
"144I","6","SNegVO Order","Prefix&OnlyWithAnotherNeg","Prefix, only occurs with another negative morpheme"
"144I","7","SNegVO Order","Type 1 / Type 2","Type 1 / Type 2"
"144I","8","SNegVO Order","No SNegVO","SVO, but SNegVO does not occur"
"144R","1","SONegV Order","Word&NoDoubleNeg","Separate word, no double negation"
"144R","2","SONegV Order","Prefix&NoDoubleNeg","Prefix, no double negation"
"144R","3","SONegV Order","Word&OptDoubleNeg","Separate word, optional double negation, with SONegV possible without a second negative"
"144R","4","SONegV Order","Prefix&OptDoubleNeg","Prefix, optional double negation, with SONegV possible without a second negative"
"144R","5","SONegV Order","Word&OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme"
"144R","6","SONegV Order","Prefix&OnlyWithAnotherNeg","Prefix, only occurs with another negative morpheme"
"144R","7","SONegV Order","Type 1 / Type 2","Type 1 / Type 2"
"144R","8","SONegV Order","No SONegV","SOV, but SONegV does not occur"
"143B","1","Obligatory Double Negation","NegVNeg","NegVNeg"
"143B","2","Obligatory Double Negation","Neg[V-Neg]","Neg[V-Neg]"
"143B","3","Obligatory Double Negation","[Neg-V]Neg","[Neg-V]Neg"
"143B","4","Obligatory Double Negation","[Neg-V-Neg]","[Neg-V-Neg]"
"143B","5","Obligatory Double Negation","Negative tone & VNeg","Negative tone & VNeg"
"143B","6","Obligatory Double Negation","Negative tone & [Neg-V]","Negative tone & [Neg-V]"
"143B","7","Obligatory Double Negation","NegNegV","NegNegV"
"143B","8","Obligatory Double Negation","Neg[Neg-V]","Neg[Neg-V]"
"143B","9","Obligatory Double Negation","VNegNeg","VNegNeg"
"143B","10","Obligatory Double Negation","Type 1 / Type 2","Type 1 / Type 2"
"143B","11","Obligatory Double Negation","Type 1 / Type 3","Type 1 / Type 3"
"143B","12","Obligatory Double Negation","Type 1 / Type 5","Type 1 / Type 5"
"143B","13","Obligatory Double Negation","Type 1 / Type 7","Type 1 / Type 7"
"143B","14","Obligatory Double Negation","Type 1 / Type 9","Type 1 / Type 9"
"143B","15","Obligatory Double Negation","Type 2 / Type 4","Type 2 / Type 4"
"143B","16","Obligatory Double Negation","ObligDoubleNeg&OptTripleNeg","Obligatory double negation with optional triple negation"
"144M","1","Multiple Negative Constructions in SOV Languages","SONegV/SOVNeg","SONegV/SOVNeg"
"144M","2","Multiple Negative Constructions in SOV Languages","SNegOV/SONegV","SNegOV/SONegV"
"144M","3","Multiple Negative Constructions in SOV Languages","NegSOV/SNegOV/SONegV","NegSOV/SNegOV/SONegV"
"144M","4","Multiple Negative Constructions in SOV Languages","NegSOV/2ndPos","NegSOV or SOV with second position negative word"
"144M","5","Multiple Negative Constructions in SOV Languages","SOVNeg/SO[V-Neg]","SOVNeg/SO[V-Neg]"
"144M","6","Multiple Negative Constructions in SOV Languages","SO[Neg-V]/SO[V-Neg]","SO[Neg-V]/SO[V-Neg]"
"144M","7","Multiple Negative Constructions in SOV Languages","SO[Neg-V]/SOVwithNegInfix","SO[Neg-V] or SOV with negative infix"
"144M","8","Multiple Negative Constructions in SOV Languages","SNegOV/SONegV/SO[V-Neg]","SNegOV/SONegV/SO[V-Neg]"
"144M","9","Multiple Negative Constructions in SOV Languages","SONegV/SVONeg","SONegV/SVONeg"
"144M","10","Multiple Negative Constructions in SOV Languages","SOVNeg/SVNegO","SOVNeg/SVNegO"
"144M","11","Multiple Negative Constructions in SOV Languages","SNegOV/SOVNeg/SVONeg","SNegOV/SOVNeg/SVONeg"
"144M","12","Multiple Negative Constructions in SOV Languages","NegSOV/SNegOV/NegSVO/SVNegO","NegSOV/SNegOV/NegSVO/SVNegO"
"144M","13","Multiple Negative Constructions in SOV Languages","SONegV/SOVNeg/SNegVO/SVONeg","SONegV/SOVNeg/SNegVO/SVONeg"
"144M","14","Multiple Negative Constructions in SOV Languages","SO[Neg-V]/S[Neg-V]O","SO[Neg-V]/S[Neg-V]O"
"144M","15","Multiple Negative Constructions in SOV Languages","SO[V-Neg]/S[V-Neg]O/","SO[V-Neg]/S[V-Neg]O/"
"144M","16","Multiple Negative Constructions in SOV Languages","SONegV/SO[Neg-V]/SNegVO/S[Neg-V]O","SONegV/SO[Neg-V]/SNegVO/S[Neg-V]O"
"144M","17","Multiple Negative Constructions in SOV Languages","NegSOV/NegOVS","NegSOV/NegOVS"
"144M","18","Multiple Negative Constructions in SOV Languages","SOVNeg/OVNegS","SOVNeg/OVNegS"
"144M","19","Multiple Negative Constructions in SOV Languages","SO[V-Neg]/O[V-Neg]S","SO[V-Neg]/O[V-Neg]S"
"144M","20","Multiple Negative Constructions in SOV Languages","SOV & NegV/VNeg","SOV & NegV/VNeg"
"144M","21","Multiple Negative Constructions in SOV Languages","SOV & NegV/[Neg-V]","SOV & NegV/[Neg-V]"
"144M","22","Multiple Negative Constructions in SOV Languages","SOV & NegV/[V-Neg]","SOV & NegV/[V-Neg]"
"144M","23","Multiple Negative Constructions in SOV Languages","SOV & NegV/VNeg","SOV & NegV/VNeg"
"144M","24","Multiple Negative Constructions in SOV Languages","SV & OV & NegV/VNeg","SV & OV & NegV/VNeg"
"144M","25","Multiple Negative Constructions in SOV Languages","SV & OV & NegV/[V-Neg]","SV & OV & NegV/[V-Neg]"
"144M","26","Multiple Negative Constructions in SOV Languages","SV & OV & [Neg-V]/[V-Neg]","SV & OV & [Neg-V]/[V-Neg]"
"144M","27","Multiple Negative Constructions in SOV Languages","SV & OV & VNeg/[V-Neg]","SV & OV & VNeg/[V-Neg]"
"144U","1","Double negation in verb-initial languages","NegVNegSO","NegVNegSO"
"144U","2","Double negation in verb-initial languages","NegVNegOS","NegVNegOS"
"144U","3","Double negation in verb-initial languages","NegVSONeg","NegVSONeg"
"144U","4","Double negation in verb-initial languages","NegNegVSO","NegNegVSO"
"144U","5","Double negation in verb-initial languages","VNegSONeg","VNegSONeg"
"144U","6","Double negation in verb-initial languages","VS & VO & [Neg-V-Neg]","VS & VO & [Neg-V-Neg]"
"144U","7","Double negation in verb-initial languages","NegVOSNeg/VNegOSNeg/SNegVONeg/SVNegONeg","NegVOSNeg/VNegOSNeg/SNegVONeg/SVNegONeg"
"144U","8","Double negation in verb-initial languages","V(Neg)SONeg","V(Neg)SONeg"
"144U","9","Double negation in verb-initial languages","Neg(Neg)VSO","Neg(Neg)VSO"
"144U","10","Double negation in verb-initial languages","NegVSO/[Neg-V-Neg]SO","NegVSO/[Neg-V-Neg]SO"
"144U","11","Double negation in verb-initial languages","NegVSO&OptStemChange","NegVSO with optional stem change"
"144U","12","Double negation in verb-initial languages","SVO/VSO but [Neg-V]SO(Neg)","[Neg-V]SO(Neg) but SVO/VSO in affirmative clauses"
"144U","13","Double negation in verb-initial languages","VS&VO&Neg[(Neg-)V]","VS & VO & Neg[(Neg-)V]"
"144U","14","Double negation in verb-initial languages","VS&VO&NegV/[(Neg-)V-Neg]","VS & VO & NegV/[(Neg-)V-Neg]"
"144U","15","Double negation in verb-initial languages","VOS & NegVNeg","VOS & NegVNeg"
"144U","16","Double negation in verb-initial languages","VSO/SVO & (Neg)V(Neg)","VSO/SVO & (Neg)V(Neg)"
"144G","1","Optional Double Negation in SVO languages","SNegVO(Neg)","SNegVO(Neg)"
"144G","2","Optional Double Negation in SVO languages","S(Neg)VONeg","S(Neg)VONeg"
"144G","3","Optional Double Negation in SVO languages","S(Neg)VNegO","S(Neg)VNegO"
"144G","4","Optional Double Negation in SVO languages","SNegV(Neg)O","SNegV(Neg)O"
"144G","5","Optional Double Negation in SVO languages","(Neg)SVONeg","(Neg)SVONeg"
"144G","6","Optional Double Negation in SVO languages","SVNegO(Neg)","SVNegO(Neg)"
"144G","7","Optional Double Negation in SVO languages","NegS[V(-Neg)]O","NegS[V(-Neg)]O"
"144G","8","Optional Double Negation in SVO languages","S[(Neg-)V]NegO","S[(Neg-)V]NegO"
"144G","9","Optional Double Negation in SVO languages","S[Neg-V]O(Neg)","S[Neg-V]O(Neg)"
"144G","10","Optional Double Negation in SVO languages","SNegVO/SVNegO&NegTone","SNegVO or SVNegO with tone on verb"
"144G","11","Optional Double Negation in SVO languages","S(Neg)[V(-Neg)]O","S(Neg)[V(-Neg)]O"
"144G","12","Optional Double Negation in SVO languages","S[Neg-V(-Neg)]O","S[Neg-V(-Neg)]O"
"144G","13","Optional Double Negation in SVO languages","(Neg)SVONeg/S(Neg)VONeg","(Neg)SVONeg/S(Neg)VONeg"
"144G","14","Optional Double Negation in SVO languages","S[Neg-V]O/NegSVNegO","S[Neg-V]O/NegSVNegO"
"144G","15","Optional Double Negation in SVO languages","SNeg[V-Neg]O/S[Neg-V-Neg]O","SNeg[V-Neg]O/S[Neg-V-Neg]O"
"144G","16","Optional Double Negation in SVO languages","S[V(-Neg)]O & NegV","S[V(-Neg)]O & NegV"
"144G","17","Optional Double Negation in SVO languages","SVO/SOV & (Neg)[V-Neg]","SVO/SOV & (Neg)[V-Neg]"
"144G","18","Optional Double Negation in SVO languages","SVO/VSO & NegV/VNeg/NegVNeg","SVO/VSO & NegV/VNeg/NegVNeg"
"144K","1","SVONeg Order","NoDoubleNeg","Separate word, no double negation"
"144K","2","SVONeg Order","OptDoubleNeg","Separate word, optional double negation, with SVONeg possible without a second negative"
"144K","3","SVONeg Order","OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme"
"144K","4","SVONeg Order","No SVONeg","SVO but SVONeg does not occur"
"144B","1","Position of negative words relative to beginning and end of clause and with respect to adjacency to verb","Beginning, not immed preverbal","At beginning of clause separated from verb"
"144B","2","Position of negative words relative to beginning and end of clause and with respect to adjacency to verb","Preverbal, not beginning or immed","Preceding verb, separated from verb, but not at beginning of clause"
"144B","3","Position of negative words relative to beginning and end of clause and with respect to adjacency to verb","Immed preverbal","Immediately preverbal"
"144B","4","Position of negative words relative to beginning and end of clause and with respect to adjacency to verb","Immed postverbal","Immediately postverbal"
"144B","5","Position of negative words relative to beginning and end of clause and with respect to adjacency to verb","Postverbal, not immed or end","Following verb, separated from verb, but not at end of clause"
"144B","6","Position of negative words relative to beginning and end of clause and with respect to adjacency to verb","End, not immed postverbal","At end of clause, separated from verb"
"144F","1","Obligatory Double Negation in SVO languages","SNegVONeg","SNegVONeg"
"144F","2","Obligatory Double Negation in SVO languages","SNegVNegO","SNegVNegO"
"144F","3","Obligatory Double Negation in SVO languages","SVNegONeg","SVNegONeg"
"144F","4","Obligatory Double Negation in SVO languages","SVO/VSO but NegSVONeg","SVO/VSO in affirmative clauses but NegSVONeg"
"144F","5","Obligatory Double Negation in SVO languages","S[Neg-V]ONeg","S[Neg-V]ONeg"
"144F","6","Obligatory Double Negation in SVO languages","SNeg[V-Neg]O","SNeg[V-Neg]O"
"144F","7","Obligatory Double Negation in SVO languages","S[Neg-V]NegO","S[Neg-V]NegO"
"144F","8","Obligatory Double Negation in SVO languages","NegS[V-Neg]O","NegS[V-Neg]O"
"144F","9","Obligatory Double Negation in SVO languages","S[Neg-V-Neg]O","S[Neg-V-Neg]O"
"144F","10","Obligatory Double Negation in SVO languages","SVNegO&NegTone","SVNegO with negative tone on verb"
"144F","11","Obligatory Double Negation in SVO languages","S[Neg-V]O&NegTone","S[Neg-V]O with negative tone on verb"
"144F","12","Obligatory Double Negation in SVO languages","SNegNegVO/SNegVNegO","SNegNegVO/SNegVNegO"
"144F","13","Obligatory Double Negation in SVO languages","SNegVNegO/SNegVONeg","SNegVNegO/SNegVONeg"
"144F","14","Obligatory Double Negation in SVO languages","SNegVONeg/S[Neg-V]ONeg","SNegVONeg/S[Neg-V]ONeg"
"144F","15","Obligatory Double Negation in SVO languages","(Neg)S(Neg)VONeg","(Neg)S(Neg)VONeg (at least one of the preverbal Negs)"
"144F","16","Obligatory Double Negation in SVO languages","SNeg[V-Neg]O&NegTone/SNegVNegO","SNeg[V-Neg]O and negative tone on verb / SNegVNegO"
"144F","17","Obligatory Double Negation in SVO languages","S(Neg)[Neg-V-Neg]O","S(Neg)[Neg-V-Neg]O"
"144F","18","Obligatory Double Negation in SVO languages","SNeg[V(-Neg)]ONeg/S[Neg-V(-Neg)]ONeg","SNeg[V(-Neg)]ONeg/S[Neg-V(-Neg)]ONeg"
"144F","19","Obligatory Double Negation in SVO languages","SNegVONeg/SNegOVNeg","SNegVONeg/SNegOVNeg"
"144F","20","Obligatory Double Negation in SVO languages","SVONeg&NegTone/SNegOVNeg","SVONeg with negative tone on verb / SNegOVNeg"
"144F","21","Obligatory Double Negation in SVO languages","SNegVONeg/SVNegONeg/NegVOSNeg/VNegOSNeg","SNegVONeg/SVNegONeg/NegVOSNeg/VNegOSNeg"
"144F","22","Obligatory Double Negation in SVO languages","SVO & NegVNeg","SVO & NegVNeg"
"144F","23","Obligatory Double Negation in SVO languages","S[Neg-V]O & NegV","S[Neg-V]O & NegV"
"90D","1","Internally-headed relative clauses","Internally-headed relative clause dominant","Internally-headed relative clause dominant"
"90D","2","Internally-headed relative clauses","Internally-headed or RelN","Internally-headed or RelN"
"90D","3","Internally-headed relative clauses","Internally-headed or NRel","Internally-headed or NRel"
"90D","4","Internally-headed relative clauses","Internally-headed or correlative","Internally-headed or correlative"
"90D","5","Internally-headed relative clauses","Internally-headed or double-headed","Internally-headed or double-headed"
"90D","6","Internally-headed relative clauses","Internally-headed occurs as nondominant type","Internally-headed occurs as nondominant type"
"90D","7","Internally-headed relative clauses","Internally-headed exists","Internally-headed exists"
"144E","1","Multiple Negative Constructions in SVO Languages","SNegVO/SVNegO","SNegVO/SVNegO"
"144E","2","Multiple Negative Constructions in SVO Languages","NegSVO/SNegVO","NegSVO/SNegVO"
"144E","3","Multiple Negative Constructions in SVO Languages","NegSVO/SVNegO","NegSVO/SVNegO"
"144E","4","Multiple Negative Constructions in SVO Languages","SNegVO/SVONeg","SNegVO/SVONeg"
"144E","5","Multiple Negative Constructions in SVO Languages","SVNegO/SVONeg","SVNegO/SVONeg"
"144E","6","Multiple Negative Constructions in SVO Languages","SVO & Flexible Neg","SVO & Flexible Neg"
"144E","7","Multiple Negative Constructions in SVO Languages","SNegVO/S[V-Neg]O","SNegVO/S[V-Neg]O"
"144E","8","Multiple Negative Constructions in SVO Languages","S[Neg-V]O/SVNegO","S[Neg-V]O/SVNegO"
"144E","9","Multiple Negative Constructions in SVO Languages","NegSVO/SNegVO/S[V-Neg]O","NegSVO/SNegVO/S[V-Neg]O"
"144E","10","Multiple Negative Constructions in SVO Languages","SNegVO/NegVSO","SNegVO/NegVSO"
"144E","11","Multiple Negative Constructions in SVO Languages","SVONeg/VSONeg","SVONeg/VSONeg"
"144E","12","Multiple Negative Constructions in SVO Languages","NegSVO/NegVOS","NegSVO/NegVOS"
"144E","13","Multiple Negative Constructions in SVO Languages","SNegVO/NegVOS","SNegVO/NegVOS"
"144E","14","Multiple Negative Constructions in SVO Languages","S[Neg-V]O/[Neg-V]OS","S[Neg-V]O/[Neg-V]OS"
"144E","15","Multiple Negative Constructions in SVO Languages","SVONeg/SONegV","SVONeg/SONegV"
"144E","16","Multiple Negative Constructions in SVO Languages","SVNegO/SOVNeg","SVNegO/SOVNeg"
"144E","17","Multiple Negative Constructions in SVO Languages","SVONeg/SNegOV/SOVNeg","SVONeg/SNegOV/SOVNeg"
"144E","18","Multiple Negative Constructions in SVO Languages","NegSVO/SVNegO/NegSOV/SNegOV","NegSVO/SVNegO/NegSOV/SNegOV"
"144E","19","Multiple Negative Constructions in SVO Languages","SNegVO/SONegV/SVONeg/SOVNeg","SNegVO/SONegV/SVONeg/SOVNeg"
"144E","20","Multiple Negative Constructions in SVO Languages","S[Neg-V]O/SO[Neg-V]","S[Neg-V]O/SO[Neg-V]"
"144E","21","Multiple Negative Constructions in SVO Languages","S[V-Neg]O/SO[V-Neg]","S[V-Neg]O/SO[V-Neg]"
"144E","22","Multiple Negative Constructions in SVO Languages","SNegVO/SONegV/S[Neg-V]O/SO[Neg-V]","SNegVO/SONegV/S[Neg-V]O/SO[Neg-V]"
"144E","23","Multiple Negative Constructions in SVO Languages","NegSVO/O[Neg-V]S","NegSVO/O[Neg-V]S"
"144E","24","Multiple Negative Constructions in SVO Languages","SVO & NegV/VNeg","SVO & NegV/VNeg"
"144E","25","Multiple Negative Constructions in SVO Languages","SVO & NegV/[V-Neg]","SVO & NegV/[V-Neg]"
"144E","26","Multiple Negative Constructions in SVO Languages","SVO/VSO & NegV","SVO/VSO & NegV"
"144E","27","Multiple Negative Constructions in SVO Languages","SVO/VOS & NegV","SVO/VOS & NegV"
"144E","28","Multiple Negative Constructions in SVO Languages","SVO/SOV & NegV/VNeg","SVO/SOV & NegV/VNeg"
"144D","1","The Position of Negative Morphemes in SVO Languages","NegSVO","NegSVO"
"144D","2","The Position of Negative Morphemes in SVO Languages","SNegVO","SNegVO"
"144D","3","The Position of Negative Morphemes in SVO Languages","SVNegO","SVNegO"
"144D","4","The Position of Negative Morphemes in SVO Languages","SVONeg","SVONeg"
"144D","5","The Position of Negative Morphemes in SVO Languages","S[Neg-V]O","S[Neg-V]O"
"144D","6","The Position of Negative Morphemes in SVO Languages","S[V-Neg]O","S[V-Neg]O"
"144D","7","The Position of Negative Morphemes in SVO Languages","SVO&Tone","SVO with tonal negation"
"144D","8","The Position of Negative Morphemes in SVO Languages","VSO but NegSVO","VSO in affirmative clauses, but NegSVO"
"144D","9","The Position of Negative Morphemes in SVO Languages","SVO/SOV but SVONeg","SVO/SOV in affirmative clauses, but SVONeg"
