"id","value_id","name","description","long description"
"50A","6","Asymmetrical Case-Marking","Syncretism in relevant NP-types","Syncretism in relevant NP-types"
"51A","1","Position of Case Affixes","Case suffixes","Case suffixes"
"51A","2","Position of Case Affixes","Case prefixes","Case prefixes"
"51A","3","Position of Case Affixes","Case tone","Case coded by tone"
"51A","4","Position of Case Affixes","Case stem change","Case coded by changes within noun stem"
"51A","5","Position of Case Affixes","Mixed morphological case","Mixed morphological case strategies with none primary"
"51A","6","Position of Case Affixes","Postpositional clitics","Postpositional clitics"
"51A","7","Position of Case Affixes","Prepositional clitics","Prepositional clitics"
"51A","8","Position of Case Affixes","Inpositional clitics","Inpositional clitics"
"51A","9","Position of Case Affixes","No case affixes or adpositional clitics","Neither case affixes nor adpositional clitics"
"52A","1","Comitatives and Instrumentals","Identity","Identity"
"52A","2","Comitatives and Instrumentals","Differentiation","Differentiation"
"52A","3","Comitatives and Instrumentals","Mixed","Mixed"
"53A","1","Ordinal Numerals","None","Zero: Ordinal numerals do not exist"
"53A","2","Ordinal Numerals","One, two, three","One: No distinction of cardinal and ordinal numerals"
"53A","3","Ordinal Numerals","First, two, three","First: Cardinal and ordinal numerals are identical except for 'one' and 'first'"
"53A","4","Ordinal Numerals","One-th, two-th, three-th","One-th: One-th: Ordinal numerals are derived from cardinal numerals"
"53A","5","Ordinal Numerals","First/one-th, two-th, three-th","First/One-th: All ordinal numerals are derived from cardinal numerals with different allomorphs for 'first' one of which is morphologically independent of 'one'"
"53A","6","Ordinal Numerals","First, two-th, three-th","Two-th: Two-th: Ordinal numerals from 'two' upwards are derived from cardinal numerals, 'first' is suppletive"
"53A","7","Ordinal Numerals","First, second, three-th","Second: 'First' and a small set of consecutive higher ordinal numerals are suppletive"
"53A","8","Ordinal Numerals","Various","Variou-th: Other solutions"
"54A","1","Distributive Numerals","No distributive numerals","No distributive numerals"
"54A","2","Distributive Numerals","Marked by reduplication","Marked by reduplication"
"54A","3","Distributive Numerals","Marked by prefix","Marked by prefix"
"54A","4","Distributive Numerals","Marked by suffix","Marked by suffix"
"54A","5","Distributive Numerals","Marked by preceding word","Marked by preceding word"
"54A","6","Distributive Numerals","Marked by following word","Marked by following word"
"54A","7","Distributive Numerals","Marked by mixed or other strategies","Marked by mixed or other strategies"
"55A","1","Numeral Classifiers","Absent","Numeral classifiers are absent"
"55A","2","Numeral Classifiers","Optional","Numeral classifiers are optional"
"55A","3","Numeral Classifiers","Obligatory","Numeral classifiers are obligatory"
"56A","1","Conjunctions and Universal Quantifiers","Formally different","Formally different"
"56A","2","Conjunctions and Universal Quantifiers","Formally similar, without interrogative","Formally similar, not involving interrogative expression"
"56A","3","Conjunctions and Universal Quantifiers","Formally similar, with interrogative","Formally similar, involving interrogative expression"
"57A","1","Position of Pronominal Possessive Affixes","Possessive prefixes","Possessive prefixes"
"57A","2","Position of Pronominal Possessive Affixes","Possessive suffixes","Possessive suffixes"
"57A","3","Position of Pronominal Possessive Affixes","Prefixes and suffixes","Both possessive prefixes and possessive suffixes, with neither primary"
"57A","4","Position of Pronominal Possessive Affixes","No possessive affixes","No possessive affixes"
"58A","1","Obligatory Possessive Inflection","Exists","Obligatorily possessed nouns exist"
"58A","2","Obligatory Possessive Inflection","Absent","No obligatorily possessed nouns"
"59A","1","Possessive Classification","No possessive classification","No possessive classification"
"59A","2","Possessive Classification","Two classes","Two classes"
"59A","3","Possessive Classification","Three to five classes","Three to five classes"
"59A","4","Possessive Classification","More than five classes","More than five classes"
"60A", Adjectives and Relative Clauses","Genitives,"1","Weakly differentiated","Weakly differentiated"
"60A", Adjectives and Relative Clauses","Genitives,"2","Genitives and adjectives collapsed","Moderately differentiated, with genitives and adjectives collapsed"
"60A", Adjectives and Relative Clauses","Genitives,"3","Genitives and relative clauses collapsed","Moderately differentiated, with genitives and relative clauses collapsed"
"60A", Adjectives and Relative Clauses","Genitives,"4","Adjectives and relative clauses collapsed","Moderately differentiated, with adjectives and relative clauses collapsed"
"60A", Adjectives and Relative Clauses","Genitives,"5","Moderately differentiated in other ways","Moderately differentiated; other"
"60A", Adjectives and Relative Clauses","Genitives,"6","Highly differentiated","Highly differentiated"
"61A","1","Adjectives without Nouns","Not without noun","Adjective may not occur without noun"
"61A","2","Adjectives without Nouns","Without marking","Adjective may occur without noun, and without marking"
"61A","3","Adjectives without Nouns","Marked by prefix","Adjective may occur without noun, obligatorily marked by prefix"
"61A","4","Adjectives without Nouns","Marked by suffix","Adjective may occur without noun, obligatorily marked by suffix"
"61A","5","Adjectives without Nouns","Marked by preceding word","Adjective may occur without noun, obligatorily marked by preceding word"
"61A","6","Adjectives without Nouns","Marked by following word","Adjective may occur without noun, obligatorily marked by following word"
"61A","7","Adjectives without Nouns","Marked by mixed or other strategies","Adjective may occur without noun, obligatorily marked by mixed or other strategies"
"62A","1","Action Nominal Constructions","Sentential","Sentential: dependent-marking of the finite clause is retained for S, A and P"
"62A","2","Action Nominal Constructions","Possessive-Accusative","Possessive-Accusative: S/A treated as possessors, P retains sentential marking"
"62A","3","Action Nominal Constructions","Ergative-Possessive","Ergative-Possessive: S/P treated as possessors, A treated differently"
"62A","4","Action Nominal Constructions","Double-Possessive","Double-Possessive: All major arguments treated as possessors"
"62A","5","Action Nominal Constructions","Other","Other: Minor patterns"
"62A","6","Action Nominal Constructions","Mixed","Mixed: Several patterns in the same language"
"62A","7","Action Nominal Constructions","Restricted","Not both A and P in the same construction"
"62A","8","Action Nominal Constructions","No action nominals","No action nominals"
"63A","1","Noun Phrase Conjunction","'And' different from 'with'","AND-languages: 'and' and 'with' are not identical"
"63A","2","Noun Phrase Conjunction","'And' identical to 'with'","WITH-languages: 'and' and 'with' are identical"
"64A","1","Nominal and Verbal Conjunction","Identity","Nominal and verbal conjunction are largely identical"
"64A","2","Nominal and Verbal Conjunction","Differentiation","Nominal and verbal conjunction are different"
"64A","3","Nominal and Verbal Conjunction","Both expressed by juxtaposition","Nominal and verbal conjunction are primarily expressed by juxtaposition"
"65A","1","Perfective/Imperfective Aspect","Grammatical marking","Grammatical marking of perfective/imperfective distinction"
"65A","2","Perfective/Imperfective Aspect","No grammatical marking","No grammatical marking of perfective/imperfective distinction"
"66A","1","The Past Tense","Present, no remoteness distinctions","Past/non-past distinction marked; no remoteness distinction"
"66A","2","The Past Tense","Present, 2-3 remoteness distinctions","Past/non-past distinction marked; 2-3 degrees of remoteness distinguished"
"66A","3","The Past Tense","Present, 4 or more remoteness distinctions","Past/non-past distinction marked; at least 4 degrees of remoteness distinguished"
"66A","4","The Past Tense","No past tense","No grammatical marking of past/non-past distinction"
"67A","1","The Future Tense","Inflectional future exists","Inflectional marking of future/non-future distinction"
"67A","2","The Future Tense","No inflectional future","No inflectional marking of future/non-future distinction"
"68A","1","The Perfect","From possessive","Perfect of the 'have'-type (derived from a possessive construction)"
"68A","2","The Perfect","From 'finish', 'already'","Perfect derived from word meaning 'finish' or 'already'"
"68A","3","The Perfect","Other perfect","Other perfect"
"68A","4","The Perfect","No perfect","No perfect"
"69A","1","Position of Tense-Aspect Affixes","Tense-aspect prefixes","Tense-aspect prefixes"
"69A","2","Position of Tense-Aspect Affixes","Tense-aspect suffixes","Tense-aspect suffixes"
"69A","3","Position of Tense-Aspect Affixes","Tense-aspect tone","Tense-aspect tone"
"69A","4","Position of Tense-Aspect Affixes","Mixed type","Combination of tense-aspect strategies with none primary"
"69A","5","Position of Tense-Aspect Affixes","No tense-aspect inflection","No tense-aspect inflection"
